Temp5	Temp6	Temp7	Temp8	Weight	Temp3	Temp4	time
28.95125771	29.45683289	28.93829536	28.93829536	-217.3225098	65.49520111	61.96914673	0
28.95125771	29.46979523	28.96422195	28.93829536	-217.2960358	66.16930389	62.87658691	0.036417133
28.88644028	29.46979523	29.02903938	29.01607513	-217.2123871	66.54524231	63.82291794	0.072787883
29.01607513	29.5475769	29.30127144	28.9771843	29.60860634	66.27301025	64.47109222	0.109302633
28.88644028	29.39201546	28.95125771	28.93829536	599.0162354	64.6655426	63.09696579	0.1457939
28.93829536	29.45683289	28.9771843	28.9771843	598.8806763	65.2359314	63.83588028	0.182206433
28.88644028	29.45683289	28.64013481	28.96422195	598.7514648	66.66191101	63.31734467	0.218593783
28.88644028	29.5475769	28.64013481	29.00311279	598.8563232	93.85921478	70.70650482	0.25508875
29.09385681	29.45683289	28.80866051	29.00311279	577.9545288	108.6245804	89.77573395	0.2916657
28.96422195	29.52165031	28.96422195	29.02903938	536.2345581	117.7638016	103.6206894	0.3346343
29.01607513	29.49572372	28.95125771	28.93829536	499.0744629	121.523201	112.1117401	0.371268983
28.93829536	29.53461266	29.23645401	28.91236877	276.4454956	124.7510986	117.5434265	0.40789415
28.89940453	29.48275948	29.04200172	29.06793022	431.6576843	126.6956177	121.3676453	0.444498033
28.95125771	29.5475769	29.02903938	29.06793022	409.0647278	130.1309357	124.2455292	0.481243867
28.91236877	29.41794205	28.88644028	28.95125771	170.0684052	130.4031677	125.0751877	0.51775905
28.9771843	29.45683289	28.93829536	28.96422195	-217.0344849	121.0824432	107.0430374	0.554431317
28.91236877	29.46979523	29.00311279	29.04200172	-217.1869659	116.4674606	91.22763824	0.591176683
28.93829536	29.56053925	29.02903938	28.95125771	-217.399826	108.0282593	80.63650513	0.62780325
28.89940453	29.58646774	28.9771843	28.93829536	-217.2367401	107.9893646	75.11407471	0.664361033
28.93829536	29.36608887	29.00311279	28.88644028	-217.5703125	104.8392487	71.41949463	0.7010004
28.9771843	29.5475769	29.08089256	28.96422195	-217.3108673	106.1096725	67.78973389	0.737531717
28.8345871	29.56053925	29.00311279	28.95125771	-217.3161621	104.774437	66.02670288	0.774085883
28.91236877	29.40497971	28.95125771	29.01607513	-217.2801514	100.1075974	63.7580986	0.810672567
28.87347794	29.45683289	28.9771843	29.00311279	-217.2452087	102.6095428	62.70806122	0.847210783
28.82162476	29.53461266	28.96422195	28.89940453	-217.1499023	104.0355148	60.99688721	0.883758417
28.87347794	29.45683289	28.95125771	29.08089256	-217.2610931	110.9450302	60.02462769	0.92031475
28.91236877	29.49572372	28.91236877	29.04200172	-217.2505035	105.7726212	59.66165161	0.9568885
28.84755135	29.48275948	28.96422195	28.9771843	-217.1467285	107.1078568	60.02462769	0.99364595
29.02903938	29.46979523	29.00311279	28.9771843	-198.1404572	101.2743073	59.72647095	1.03022515
